name,price,sold,product_link,shipping
"TECNO Global Version SPARK 10 PRO 4G NFC For Android 13 Smartphone 6.8"" FHD+ 90Hz Display 50MP Smart Cell Phone 18W Mobile Phone ","NGN129,151.31",31 sold,https://www.aliexpress.com/item/1005006176559182.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-0&pdp_npi=4%40dis%21NGN%21350429.70%21129151.31%21%21%21436.52%21%21%40211b61d017019362331317358e6a30%2112000036140093440%21sea%21NG%210%21AB&curPageLogUid=LV1b1VkcJZDb,Free shipping
"TECNO Global Version SPARK GO 2023 4G Android 12 Smartphone 6.6"" HD+ Screen Smart Cellphone 13MP AI Rear Camera Mobile Phone ","NGN82,670.33",6 sold,https://www.aliexpress.com/item/1005006176616954.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-1&pdp_npi=4%40dis%21NGN%21228118.08%2182670.33%21%21%21284.16%21%21%40211b61d017019362331317358e6a30%2112000036141011194%21sea%21NG%210%21AB&curPageLogUid=fgTnAsPpcEAw,Free shipping
"TECNO Global Version SPARK 10 PRO 4G NFC For Android 13 Smartphone 6.8"" FHD+ 90Hz Display 50MP Smart Cell Phone 18W Mobile Phone ","NGN129,151.31",19 sold,https://www.aliexpress.com/item/1005006176413973.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-2&pdp_npi=4%40dis%21NGN%21350429.70%21129151.31%21%21%21436.52%21%21%40211b61d017019362331317358e6a30%2112000036140068484%21sea%21NG%210%21AB&curPageLogUid=PMC4Jyur9v0V,Free shipping
"TECNO Global Version SPARK 10 4G NFC Android 13 Smartphone 6.6"" HD+ 90Hz Display Mobile Cell Phone 50MP Smart Cellphone ","NGN107,163.16",10 sold,https://www.aliexpress.com/item/1005006176516692.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-3&pdp_npi=4%40dis%21NGN%21317644.15%21107163.16%21%21%21395.68%21%21%40211b61d017019362331317358e6a30%2112000036140188753%21sea%21NG%210%21AB&curPageLogUid=7te5gXip2K7d,Free shipping
"[World Premiere] UMIDIGI G5 Smartphone, Android 13 , 8GB RAM 128GB ROM, 50MP Camera, 5000mAh Battery,  Dual SIM 4G Cellphone ","NGN120,409.03",28 sold,https://www.aliexpress.com/item/1005005875416199.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&aem_p4p_detail=202312070003533752372408418440000315202&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-4&pdp_npi=4%40dis%21NGN%21197395.67%21120409.03%21%21%21245.89%21%21%40211b61d017019362331317358e6a30%2112000035403312932%21sea%21NG%210%21AB&curPageLogUid=5WaYCSjFfPW2&search_p4p_id=202312070003533752372408418440000315202_1,"+Shipping: NGN7,987.66"
"TECNO Global Version SPARK GO 2023 4G Android 12 Smartphone 6.6"" HD+ Screen Smart Cellphone 13MP AI Rear Camera Mobile Phone ","NGN82,670.33",1 sold,https://www.aliexpress.com/item/1005006176711479.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-5&pdp_npi=4%40dis%21NGN%21228118.08%2182670.33%21%21%21284.16%21%21%40211b61d017019362331317358e6a30%2112000036140957426%21sea%21NG%210%21AB&curPageLogUid=cxmRk6QHDkVJ,Free shipping
"TECNO Global Version SPARK 10 4G NFC Android 13 Smartphone 6.6"" HD+ 90Hz Display Mobile Cell Phone 50MP Smart Cellphone ","NGN116,692.16",1 sold,https://www.aliexpress.com/item/1005006176582337.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-6&pdp_npi=4%40dis%21NGN%21317644.15%21116692.16%21%21%21395.68%21%21%40211b61d017019362331317358e6a30%2112000036140224657%21sea%21NG%210%21AB&curPageLogUid=9gUsiArK5Yui,Free shipping
2023 New Smartphone Spark 10 Pro 16GB+1TB，celulares  smartphone phone celular，tecno ,"NGN96,072.51",18 sold,https://www.aliexpress.com/item/1005006221813313.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-7&pdp_npi=4%40dis%21NGN%2199043.82%2196072.51%21%21%21880.00%21%21%40211b61d017019362331317358e6a30%2112000036344686455%21sea%21NG%210%21AB&curPageLogUid=1PWS7yLeXkPU,Free shipping
2023 New Smartphone F5 Pro 16GB+1TB，celulares smartphone phone celular，tecno ,"NGN96,072.51",,https://www.aliexpress.com/item/1005006264049763.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-8&pdp_npi=4%40dis%21NGN%2199043.82%2196072.51%21%21%21880.00%21%21%40211b61d017019362331317358e6a30%2112000036523702244%21sea%21NG%210%21AB&curPageLogUid=TZdiyOSBuNn2,Free shipping
"UMIDIGI A13 Pro Max 5G Smartphone,12GB RAM 256GB ROM, Dimensity 900, 90Hz, 6.8'' FHD+, 64MP Triple Camera ","NGN144,974.12",398 sold,https://www.aliexpress.com/item/1005005187296747.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&aem_p4p_detail=202312070003533752372408418440000315202&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-9&pdp_npi=4%40dis%21NGN%21263584.92%21144974.12%21%21%21328.34%21%21%40211b61d017019362331317358e6a30%2112000035629513254%21sea%21NG%210%21AB&curPageLogUid=F9WMzc38baBF&search_p4p_id=202312070003533752372408418440000315202_2,"+Shipping: NGN6,903.91"
2023 New Bluetooth Call Smart Watch Women Full Touch Sport Fitness Waterproof Heart Rate For Tecno Spark 8P iPhone 13 14 Pro Max ,"NGN31,091.68",,https://www.aliexpress.com/item/1005006305689675.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-10&pdp_npi=4%40dis%21NGN%2131091.68%2131091.68%21%21%2138.73%21%21%40211b61d017019362331317358e6a30%2112000036692380716%21sea%21NG%210%21AB&curPageLogUid=RDaSillGx0Sv,"+Shipping: NGN4,664.15"
2023 New Smartphone M6 Pro 16GB+1TB，celulares smartphone phone celular，tecno ,"NGN96,072.51",,https://www.aliexpress.com/item/1005006263894980.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-11&pdp_npi=4%40dis%21NGN%2199043.82%2196072.51%21%21%21880.00%21%21%40211b61d017019362331317358e6a30%2112000036522957151%21sea%21NG%210%21AB&curPageLogUid=dSMWJIiepSQ0,Free shipping
2023 New Smartphone Reno10Pro+ 16GB+1TB，celulares smartphone phone celular，tecno ,"NGN96,072.51",4 sold,https://www.aliexpress.com/item/1005006264075396.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-12&pdp_npi=4%40dis%21NGN%2199043.82%2196072.51%21%21%21880.00%21%21%40211b61d017019362331317358e6a30%2112000036523611091%21sea%21NG%210%21AB&curPageLogUid=ogMLzSZgyfMz,Free shipping
2023 New 1.8 inch full Smartwatch For Google pixel 4 XL Tecno Pova 2 Camon 12 15 16 17 17P Se Pro Air Xiaomi Mi 8 SE 8 Men Women ,"NGN31,091.68",,https://www.aliexpress.com/item/1005006309423727.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-13&pdp_npi=4%40dis%21NGN%2131091.68%2131091.68%21%21%2138.73%21%21%40211b61d017019362331317358e6a30%2112000036706554601%21sea%21NG%210%21AB&curPageLogUid=R99sXKKOHOuL,"+Shipping: NGN4,664.15"
"[World Premiere] UMIDIGI A15, A15C Smartphone NFC Android 13 ,6.7"" FHD+Screen, 8GB 256GB 128G, 64MP Camera,5000mAh Mobile phone ","NGN128,436.83",304 sold,https://www.aliexpress.com/item/1005005847016454.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&aem_p4p_detail=202312070003533752372408418440000315202&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-14&pdp_npi=4%40dis%21NGN%21210553.24%21128436.83%21%21%21262.28%21%21%40211b61d017019362331317358e6a30%2112000034862447031%21sea%21NG%210%21AB&curPageLogUid=ty3hnz0fFjHC&search_p4p_id=202312070003533752372408418440000315202_4,"+Shipping: NGN6,903.91"
Cute Ears Creamy Cartoon Animal Wavy Edge With Bracelet Phone Case For Tecno Spark 4 KC8 Tecno Camon 12 CC7 Case Cover ,"NGN2,464.53",,https://www.aliexpress.com/item/1005006183536739.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-15&pdp_npi=4%40dis%21NGN%213203.09%212464.53%21%21%213.99%21%21%40211b61d017019362331317358e6a30%2112000036174776935%21sea%21NG%210%21AB&curPageLogUid=FZYVeYkwypov,Free shipping
2PCS Tempered Glass Case For Tecno Pova 3 Screen Protector For Tecno Pova 3 Pova3 4G HD Protective Film Cover 6.9inches LF7n ,"NGN1,115.87",1 sold,https://www.aliexpress.com/item/1005005134763316.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-16&pdp_npi=4%40dis%21NGN%211589.51%211115.87%21%21%211.98%21%21%40211b61d017019362331317358e6a30%2112000031799906019%21sea%21NG%210%21AB&curPageLogUid=xlGhky2PuBWK,Free shipping
For Tecno Camon 12 Air CC6 LCD Display Touch Screen Digitizer Assembly For Tecno Camon 12 CC7 KC8 LCD Replacement Display Parts ,"NGN8,461.31",1 sold,https://www.aliexpress.com/item/1005005511442156.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-17&pdp_npi=4%40dis%21NGN%2110572.62%218461.31%21%21%2113.17%21%21%40211b61d017019362331317358e6a30%2112000033361500712%21sea%21NG%210%21AB&curPageLogUid=2wjJRfVXPOEz,"+Shipping: NGN3,909.54"
